City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mugia,43.1041,-9.2179,68.16,93,1,8.48,ES,1722813069
84,karatau,43.1667,70.4667,73.94,29,0,8.28,KZ,1722813070
85,chonchi,-42.6128,-73.8092,46.11,98,100,3.98,CL,1722813070
86,tarija,-21.5355,-64.7296,58.23,69,0,1.43,BO,1722813070
87,lazaro cardenas,17.9583,-102.2,85.8,67,74,8.14,MX,1722813070
88,hasaki,35.7333,140.8333,84.29,77,2,3.06,JP,1722813070
89,kruisfontein,-34.0033,24.7314,47.88,68,71,12.66,ZA,1722813070
90,bentiu,9.2333,29.8333,70.97,98,97,5.28,SS,1722813071
91,kapuskasing,49.4169,-82.4331,69.26,38,54,9.75,CA,1722813071
92,avarua,-21.2078,-159.775,77.05,65,4,9.22,CK,1722813071
93,invercargill,-46.4,168.35,48.02,82,57,5.99,NZ,1722813071
94,arno,60.1167,18.6333,63.79,91,20,2.71,SE,1722813071
95,lycksele,64.5954,18.6735,57.07,100,75,0.0,SE,1722813071
96,hermanus,-34.4187,19.2345,50.09,65,80,15.12,ZA,1722813071
97,nemuro,43.3236,145.575,59.76,100,100,6.06,JP,1722813072
98,balabac,7.9868,117.0645,81.1,80,100,5.37,PH,1722813072
99,inhambane,-23.865,35.3833,65.68,81,7,9.62,MZ,1722813072
100,luderitz,-26.6481,15.1594,54.93,84,50,11.59,NA,1722813072
101,polyarnyy,69.1989,33.4478,45.97,88,2,1.07,RU,1722813072
102,kovalam,8.3667,76.9967,78.89,78,40,10.36,IN,1722813072
103,banda aceh,5.5577,95.3222,80.38,80,99,11.63,ID,1722813072
104,shima,24.4478,117.8111,81.14,87,100,2.01,CN,1722813073
105,iqaluit,63.7506,-68.5145,47.93,81,100,9.22,CA,1722813073
106,toliara,-23.35,43.6667,65.57,75,0,5.19,MG,1722813073
107,vadso,70.0744,29.7487,52.68,93,100,12.66,NO,1722813073
108,papao,-17.75,-149.55,82.08,72,26,14.14,PF,1722812931
109,shuangcheng,45.35,126.2833,74.21,98,100,9.95,CN,1722813073
110,ushuaia,-54.8,-68.3,18.23,93,13,2.15,AR,1722813073
111,lebu,-37.6167,-73.65,49.37,91,100,26.49,CL,1722812903
112,puerto ayora,-0.7393,-90.3518,69.55,92,75,5.01,EC,1722813074
113,margaret river,-33.95,115.0667,60.49,69,85,14.41,AU,1722813074
114,luchegorsk,46.4764,134.2569,67.03,93,87,6.35,RU,1722813074
115,nogliki,51.8333,143.1667,57.97,66,59,14.41,RU,1722813074
116,robertsport,6.7533,-11.3686,77.47,84,100,7.38,LR,1722813074
117,port mathurin,-19.6833,63.4167,71.62,74,13,14.05,MU,1722813075
118,tabou,4.423,-7.3528,76.08,83,95,5.06,CI,1722813075
119,tralee,52.2704,-9.7026,63.21,97,93,6.71,IE,1722813075
120,saint-joseph,-21.3667,55.6167,64.78,79,16,7.18,RE,1722813075
121,petropavlovsk-kamchatsky,53.0452,158.6483,61.39,67,20,4.47,RU,1722813075
122,val-d'or,48.1002,-77.7828,68.72,54,76,5.64,CA,1722813075
123,fada,7.25,4.0667,70.05,95,79,3.06,NG,1722813075
124,jessore,23.1687,89.2132,79.38,91,100,6.06,BD,1722813076
125,taltal,-25.4,-70.4833,58.12,81,19,2.42,CL,1722813076
126,kailua-kona,19.6406,-155.9956,84.16,76,75,10.36,US,1722813076
127,bilibino,68.0546,166.4372,49.17,54,75,3.98,RU,1722813076
128,mitu,1.1983,-70.1733,74.71,96,100,1.59,CO,1722813076
129,lihue,21.9789,-159.3672,83.79,62,0,14.97,US,1722813076
130,cabo san lucas,22.8909,-109.9124,92.5,48,20,9.22,MX,1722812908
131,minusinsk,53.7103,91.6875,66.22,89,8,4.25,RU,1722813077
132,alofi,-19.0595,-169.9187,80.49,78,75,11.5,NU,1722813077
133,bandarbeyla,9.4942,50.8122,77.16,80,100,29.75,SO,1722813077
134,sault ste. marie,46.5168,-84.3333,75.49,53,0,10.36,CA,1722812922
135,tvoroyri,61.5556,-6.8111,53.26,96,100,29.1,FO,1722813077
136,freetown,8.484,-13.2299,76.77,85,100,5.37,SL,1722813077
137,isabela,6.7085,121.9711,79.61,85,76,2.91,PH,1722813078
